,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_ratio,household_rooms
562,-122.23,37.75,50.0,7.341483852363161,5.66988092298052,6.484635235635252,5.594711379601839,3.9632,240000.0,0,0,0,1,0,0.7723072115939387,1.3122185139219165
13016,-121.18,38.69,7.0,8.868554040531201,6.878326468291325,7.927685045615778,6.825460036255307,6.3528,274500.0,0,1,0,0,0,0.7755860128782993,1.2993342563612473
12139,-117.24,33.85,8.0,6.939253946041508,5.308267697401205,6.408528791059498,5.19295685089021,2.8194,136300.0,0,1,0,0,0,0.7649623055558159,1.3362818419821716
18436,-121.84,37.25,17.0,7.768110378525988,6.161207321695077,7.222566018822171,6.093569770045136,4.8355,141600.0,1,0,0,0,0,0.7931410628158679,1.2748045352188442
3040,-119.18,35.5,36.0,7.134093721192866,5.560681631015528,6.838405200847344,5.521460917862246,2.1635,110400.0,0,1,0,0,0,0.7794517213162916,1.2920663258004164
14886,-117.08,32.63,28.0,7.640603826393634,6.059123195581797,7.144407180321139,6.075346031088684,2.2788,146300.0,0,0,0,0,1,0.7930162763643386,1.2576409289767583
3801,-118.35,34.15,35.0,7.716906135298388,5.976350909297934,6.664409020350408,5.998936561946683,4.1544,500001.0,1,0,0,0,0,0.7744490867863649,1.2863790199498653
7758,-118.13,33.91,34.0,6.821107472256465,5.093750200806762,6.315358001522335,5.10594547390058,4.9107,222000.0,1,0,0,0,0,0.74676292985041,1.3359146718512884
13072,-121.31,38.57,22.0,7.114769448366463,5.537334267018537,6.598509028614515,5.5254529391317835,2.5,101600.0,0,1,0,0,0,0.7782872385682009,1.2876355163535986
4518,-118.2,34.04,36.0,7.3938782901077555,6.19644412779452,7.602900462204755,6.171700597410915,2.181,147200.0,1,0,0,0,0,0.8380505987074093,1.1980293232645725
539,-122.29,37.78,42.0,7.124478262493424,5.736572297479192,6.71174039505618,5.707110264748875,1.9427,102200.0,0,0,0,1,0,0.8051919152703692,1.2483512551876226
8987,-118.37,33.99,32.0,8.2987883944492,6.336825731146441,7.244941546337007,6.343880434126331,8.6718,439100.0,1,0,0,0,0,0.7635844450962198,1.3081564951644769
10316,-117.8,33.85,16.0,8.331345424845724,6.45833828334479,7.351799869057777,6.405228458030842,5.806,304900.0,1,0,0,0,0,0.7751855137448442,1.3007101119710924
17662,-121.88,37.27,24.0,8.426830751335846,6.535241271013659,7.6511201757027,6.54534966033442,5.6895,289000.0,1,0,0,0,0,0.7755277712178654,1.2874531061959027
6496,-118.0,34.08,23.0,7.395107546562485,5.765191102784844,7.154615356913663,5.66988092298052,4.6467,185100.0,0,1,0,0,0,0.7795953022298796,1.3042791633576416
13375,-117.55,34.14,3.0,8.650149418664864,6.824373670043086,7.963807953231451,6.787844982309579,5.3638,206300.0,0,1,0,0,0,0.788931305084487,1.2743587163833006
12744,-121.37,38.64,36.0,5.777652323222656,3.8918202981106265,4.897839799950911,4.0943445622221,4.6111,139300.0,0,1,0,0,0,0.6735989084126559,1.4111299709682918
4617,-118.3,34.07,26.0,7.653494909661253,6.630683385642372,7.886457270977689,6.608000625296087,2.3375,282300.0,1,0,0,0,0,0.866360200654507,1.158216432420256
2914,-119.08,35.36,12.0,8.770749549138642,7.018401799069201,7.995306620290822,6.996681488176539,4.5791,123400.0,0,1,0,0,0,0.8002054738592398,1.2535584996916098
6175,-117.93,34.08,36.0,7.37650812632622,5.655991810819852,6.804614520062624,5.60947179518496,4.3947,197000.0,1,0,0,0,0,0.7667573483223085,1.3150093976153054
13592,-117.29,34.11,35.0,7.794411205726601,6.573680166960646,7.560601162768557,6.375024819828097,1.5561,68000.0,0,1,0,0,0,0.843383803273161,1.2226479780100337
14626,-117.18,32.77,16.0,7.772752716468742,6.660575149839686,6.81783057145415,6.559615237493242,2.7386,87500.0,0,0,0,0,1,0.8569132960742984,1.184940341019011
19860,-119.3,36.35,24.0,7.526178913346146,6.0330862217988015,7.327123292259293,6.018593214496234,2.3304,64900.0,0,1,0,0,0,0.8016134470442035,1.2504880534572063
4152,-118.21,34.12,52.0,7.171656822768514,5.966146739123692,7.081708586105575,5.8916442118257715,2.5139,190000.0,1,0,0,0,0,0.8319063344166749,1.2172589798232365
16893,-122.38,37.58,52.0,7.4413203897176174,5.424950017481403,6.51025834052315,5.497168225293202,8.4704,500001.0,0,0,0,0,1,0.7290305662658436,1.3536643021909194
5181,-118.26,33.94,44.0,7.00669522683704,5.583496308781699,6.634633357861686,5.5134287461649825,1.6887,99600.0,1,0,0,0,0,0.7968801450640802,1.270841712012827
7791,-118.07,33.89,35.0,7.044032897274685,5.616771097666572,7.409741954080923,5.583496308781699,3.125,120300.0,1,0,0,0,0,0.7973800207321126,1.2615810072616795
13440,-117.42,34.08,28.0,7.741099090035366,6.040254711277414,7.180069874302796,6.09807428216624,3.4844,127700.0,0,1,0,0,0,0.7802838642193144,1.2694333869749892
8427,-118.35,33.92,29.0,6.602587892189336,5.4510384535657,6.371611847231857,5.44673737166631,3.6167,200000.0,1,0,0,0,0,0.8255911988712964,1.212209703103313
14146,-117.07,32.74,38.0,7.550661243105336,5.973809611869261,7.003065458786462,6.008813185442595,2.7661,113900.0,0,0,0,0,1,0.7911637695737006,1.2565977689900794
4148,-118.2,34.12,52.0,7.365812837209472,6.056784013228625,7.288244401020124,6.008813185442595,3.3326,167600.0,1,0,0,0,0,0.8222831813797795,1.2258348878368275
7836,-118.15,33.91,25.0,7.627544390488503,6.361302477572996,7.451241684987676,6.230481447578482,2.3456,146100.0,1,0,0,0,0,0.8339908825054493,1.2242303351136692
5607,-118.3,33.79,21.0,6.974478911025045,5.648974238161206,7.074116816197362,5.616771097666572,2.5,157500.0,1,0,0,0,0,0.8099492894345811,1.2417238996836668
10128,-117.9,33.93,12.0,8.372398606513004,7.083387847625295,7.5485559791698735,6.985641817639208,3.3173,247400.0,1,0,0,0,0,0.8460404455797208,1.198515301109791
3300,-122.62,38.94,14.0,7.4570320891223805,5.993961427306569,6.459904454377535,5.645446897643238,2.3179,57500.0,0,1,0,0,0,0.803799870467233,1.3208931417343437
9764,-121.7,36.48,19.0,7.67368812926773,6.173786103901937,6.959398512133975,6.061456918928017,3.5039,288400.0,1,0,0,0,0,0.804539616400996,1.2659808082286659
7417,-118.22,33.94,38.0,6.670766320845874,5.41610040220442,7.052721049232323,5.342334251964811,3.3542,153800.0,1,0,0,0,0,0.8119157742461052,1.2486613540499625
19593,-120.87,37.6,32.0,8.429454277108231,6.818924065275521,7.916807490937603,6.75343791859778,2.6619,86200.0,0,1,0,0,0,0.8089401568727399,1.2481723203370239
2505,-120.44,36.84,29.0,7.355001921105257,5.683579767338681,6.784457062637643,5.666426688112432,2.8182,90500.0,0,1,0,0,0,0.7727502763839651,1.2979964845455916
44,-122.26,37.83,52.0,7.275172319452771,5.7430031878094825,6.493753839851686,5.680172609017068,3.0125,184400.0,0,0,0,1,0,0.7893975476640619,1.2808012749302196
10785,-117.92,33.63,34.0,7.8160138391590275,6.198478716492308,7.0317412587631285,6.19644412779452,4.9643,317900.0,1,0,0,0,0,0.7930485851288155,1.2613708246153355
917,-121.97,37.52,23.0,8.502282578680484,6.855408798609928,7.836369760545124,6.796823718274855,5.0824,230900.0,1,0,0,0,0,0.8063021588814161,1.2509199783746197
19946,-119.35,36.22,32.0,7.1631723908466425,5.720311776607412,6.748759547491679,5.736572297479192,1.4429,54600.0,0,1,0,0,0,0.7985724012334299,1.248685106608756
10626,-117.77,33.71,13.0,7.570443252057374,5.5134287461649825,6.834108738813838,5.501258210544727,8.1111,379800.0,1,0,0,0,0,0.7282834786016831,1.3761294166389908
13903,-116.38,34.2,14.0,8.514389264083503,7.122059881629142,7.831220214604293,6.86171134048073,2.0674,65000.0,0,1,0,0,0,0.8364733700480826,1.2408550639332179
2270,-119.79,36.78,38.0,7.556427969440253,6.124683390894205,7.0317412587631285,6.013715156042802,2.03,58800.0,0,1,0,0,0,0.8105262718924449,1.256532405238262
9120,-118.1,34.58,32.0,7.306531398939505,5.726847747587197,6.652863029353347,5.5909869805108565,3.275,103500.0,0,1,0,0,0,0.7837984174567991,1.3068410683853706
18471,-121.64,37.14,14.0,8.610319169405722,6.932447891572509,7.945909598613133,6.887552571664617,4.175,229800.0,1,0,0,0,0,0.8051325107906518,1.2501275423767455
1227,-120.54,38.41,21.0,7.269616749608169,5.68697535633982,6.505784060128229,5.5909869805108565,2.5667,77400.0,0,1,0,0,0,0.7822936961080303,1.3002385401627128
18540,-122.0,36.93,51.0,7.388327859577107,5.926926025970411,6.411818267709897,5.713732805509369,3.1932,400000.0,0,0,0,0,1,0.8022012745803698,1.293082492841289
7980,-118.17,33.87,48.0,7.7226775164680035,6.234410725718371,7.241366283322318,6.20050917404269,3.765,164800.0,1,0,0,0,0,0.807286166284165,1.2454908620726821
18446,-121.82,37.23,23.0,8.409162447202533,6.371611847231857,7.613324979540639,6.364750756851911,7.5218,291500.0,1,0,0,0,0,0.7576987467225698,1.3212084445176004
3119,-117.87,35.73,13.0,7.8504931808711405,6.1092475827643655,7.074963197966044,6.028278520230698,4.1518,91800.0,0,1,0,0,0,0.7781992088917966,1.3022777820442688
8322,-118.3,33.95,41.0,7.629489916393995,6.311734809152915,7.498869733976931,6.2285110035911835,1.2455,100800.0,1,0,0,0,0,0.8272813619676551,1.2249299892052927
10991,-117.81,33.73,19.0,8.299783171949787,6.883462586413092,7.755767170102998,6.86171134048073,3.0305,140600.0,1,0,0,0,0,0.8293545076787864,1.2095791793200537
3447,-118.42,34.24,17.0,7.6255950721324535,6.3080984415095305,7.716015266642587,6.295266001439646,2.525,163700.0,1,0,0,0,0,0.8272270402295971,1.2113221379983907
355,-122.16,37.76,46.0,7.510977752014095,5.730099782973574,6.782192056006791,5.713732805509369,4.6696,164300.0,0,0,0,1,0,0.7628966523615421,1.3145483010286663
16949,-122.33,37.53,18.0,8.410498452745275,6.634633357861686,7.487173694213739,6.587550014824796,6.7042,413000.0,0,0,0,0,1,0.7888513855794209,1.2767263146113605
9790,-121.84,36.25,20.0,6.8658910748834385,5.5053315359323625,6.3818160174060985,5.247024072160486,2.6094,362500.0,0,0,0,0,1,0.8018378788547597,1.308530508047846
18145,-122.04,37.34,28.0,8.033334015880062,6.133398042996649,7.13966033596492,6.135564891081739,7.5372,432600.0,1,0,0,0,0,0.7634934674535286,1.3093063407342977
8452,-118.35,33.91,26.0,7.67786350067821,6.261491684321042,7.194436851100335,6.255750041753367,3.87,264500.0,1,0,0,0,0,0.8155252673830349,1.2273290092208116
2414,-119.43,36.59,15.0,7.22402480828583,5.726847747587197,7.144407180321139,5.736572297479192,1.767,63300.0,0,1,0,0,0,0.7927502880414533,1.2592929076236459
13140,-121.41,38.34,24.0,7.381501894506707,5.627621113690637,7.584264818389059,5.5254529391317835,3.0833,162500.0,0,1,0,0,0,0.7623951323346129,1.3359089247200366
6402,-118.02,34.14,34.0,6.982862751468942,5.552959584921617,6.171700597410915,5.298317366548036,2.6316,252800.0,0,1,0,0,0,0.7952267977418681,1.3179396907321206
1602,-122.13,37.87,18.0,7.507141079727608,5.3981627015177525,6.591673732008658,5.438079308923196,10.3713,426100.0,0,0,0,1,0,0.7190703683583393,1.3804765714632639
18051,-121.99,37.26,17.0,8.302761580704049,6.416732282512326,7.055312843339752,6.329720905522696,8.2069,442500.0,1,0,0,0,0,0.7728431341958644,1.3117105326808123
723,-122.1,37.67,34.0,8.205218426395412,6.8001700683022,7.8160138391590275,6.806829360392176,2.9564,150500.0,0,0,0,1,0,0.828761614246209,1.2054391247326153
1457,-121.97,37.97,26.0,7.589841512182657,5.579729825986222,6.706862336602747,5.6131281063880705,5.7512,240200.0,0,1,0,0,0,0.7351576204891827,1.3521589688190032
13524,-117.28,34.17,26.0,8.22389538017882,6.790097235513905,7.476472381163905,6.590301048196686,1.7456,86800.0,0,1,0,0,0,0.8256546224894048,1.2478785597251492
16630,-120.83,35.32,11.0,8.087332926473351,6.553933404025811,7.503840746698951,6.493753839851686,3.2226,183200.0,0,0,0,0,1,0.8103949056643807,1.2454018316558273
83,-122.28,37.81,52.0,5.958424693029782,5.10594547390058,5.849324779946859,5.049856007249537,0.8075,137500.0,0,0,0,1,0,0.8569287583467423,1.1799197213694628
12534,-121.5,38.56,46.0,7.881182202227102,6.470799503782602,7.429520842786462,6.424869023905388,1.128,123100.0,0,1,0,0,0,0.8210442720070668,1.2266681504172494
4188,-118.22,34.12,28.0,8.103796712981794,6.933423025730715,7.890208213109961,6.849066282633458,3.0919,185400.0,1,0,0,0,0,0.8555771166648084,1.1831972970578253
11608,-118.05,33.78,18.0,8.13593277200489,6.075346031088684,7.149131598557407,6.12029741895095,8.7015,390900.0,1,0,0,0,0,0.746730117042446,1.3293361768355745
11463,-117.99,33.67,12.0,7.709308333385869,6.173786103901937,7.023758954738443,6.192362489474872,4.0385,350000.0,1,0,0,0,0,0.8008223094626774,1.24497045295545
8797,-118.46,33.77,28.0,8.028129059431759,6.008813185442595,7.004881989712859,5.971261839790462,10.5536,500001.0,0,0,0,0,1,0.7484699287915915,1.3444610661577476
17066,-122.22,37.48,34.0,7.340835554123275,6.371611847231857,7.355641102974253,6.326149473155099,2.56,250000.0,0,0,0,0,1,0.86796820338156,1.1603955273700024
801,-122.07,37.64,25.0,8.417372856134026,6.7580945044277305,7.794411205726601,6.760414691083428,4.7083,190900.0,0,0,0,1,0,0.8028745571728924,1.245097119150993
5771,-118.27,34.15,22.0,7.725771441587952,6.45833828334479,7.429520842786462,6.331501849893691,2.6729,217100.0,1,0,0,0,0,0.8359473655380809,1.2202115113837757
6656,-118.13,34.15,18.0,7.418180822726788,6.169610732491456,6.999422467507961,5.968707559985366,2.6038,155600.0,1,0,0,0,0,0.8316878328969636,1.2428454147190577
17550,-121.87,37.35,52.0,7.351158226430694,6.052089168924417,7.365812837209472,6.075346031088684,2.3277,183700.0,1,0,0,0,0,0.8232837578117222,1.2099982764460557
18565,-121.74,36.92,17.0,7.88193748927207,6.380122536899765,7.085064293952548,6.293419278846481,2.4461,151700.0,1,0,0,0,0,0.8094611947358893,1.252409404179527
6535,-118.05,34.05,36.0,6.98933526597456,5.313205979041787,6.825460036255307,5.298317366548036,3.7279,162200.0,1,0,0,0,0,0.7601875967958648,1.319161307720654
18104,-122.03,37.31,25.0,7.664815785285735,6.018593214496234,7.0326242610280065,5.981414211254481,5.3508,409100.0,1,0,0,0,0,0.7852234656506971,1.2814387224452384
18550,-122.03,36.96,40.0,6.371611847231857,4.844187086458591,5.75890177387728,4.941642422609304,3.5938,243500.0,0,0,0,0,1,0.76027655208833,1.2893712863723343
7091,-118.01,33.92,35.0,7.382124365737512,5.66988092298052,6.721425700790643,5.6131281063880705,5.273,187600.0,1,0,0,0,0,0.7680554596581995,1.315153373630689
10405,-117.53,33.69,6.0,6.12029741895095,4.634728988229636,5.365976015021851,3.784189633918261,10.9704,483300.0,1,0,0,0,0,0.7572718564098886,1.6173336991607936
3846,-118.47,34.19,41.0,7.007600613951853,5.2832037287379885,6.206575926724928,5.2832037287379885,5.0929,225000.0,1,0,0,0,0,0.7539247767944053,1.3263922751708412
11986,-117.51,34.02,24.0,8.959311617172437,7.515344571180436,8.293299358711323,7.476472381163905,2.1764,135300.0,0,1,0,0,0,0.8388305812218508,1.1983340752711629
12362,-116.48,33.79,14.0,9.151227107483676,7.611347717403621,7.445417556701687,6.90875477931522,2.6298,145200.0,0,1,0,0,0,0.8317297372260848,1.3245841544242396
4507,-118.19,34.05,43.0,6.885509670034818,5.58724865840025,6.98933526597456,5.560681631015528,2.7708,127900.0,1,0,0,0,0,0.8114502667414011,1.2382492160007623
11691,-117.99,33.87,17.0,7.755767170102998,6.2878585601617845,7.416378479192928,6.284134161070802,3.0147,217000.0,1,0,0,0,0,0.810733280441976,1.2341823028140815
19053,-121.69,38.16,33.0,7.500529485395295,5.8971538676367405,6.715383386334681,5.831882477283517,3.2937,96400.0,0,1,0,0,0,0.7862316759262693,1.286124937292809
1929,-121.07,38.66,22.0,7.513163545234075,5.616771097666572,6.70196036600254,5.598421958998375,4.6394,173400.0,0,1,0,0,0,0.7475906871785765,1.342014517708535
10025,-121.23,39.27,11.0,7.143617602704121,5.41610040220442,6.352629396319567,5.327876168789581,3.3603,162500.0,0,1,0,0,0,0.7581733378553505,1.3408002319106171
13398,-117.53,34.1,5.0,7.689828668736484,6.192362489474872,7.22983877815125,6.129050210060545,3.7917,103000.0,0,1,0,0,0,0.8052666393791501,1.2546525815882525
8705,-118.34,33.84,36.0,7.249925536717988,5.44673737166631,6.517671272912275,5.44673737166631,5.269,331900.0,1,0,0,0,0,0.7512818364934581,1.3310584010221942
12036,-117.47,33.92,18.0,8.261009786023827,6.651571873589727,7.824445930877619,6.588926477533519,3.6583,126100.0,0,1,0,0,0,0.8051766122881266,1.2537717356828408
15211,-117.09,32.99,18.0,8.075893630298857,6.3784261836515865,7.389563953677635,6.234410725718371,4.6028,216800.0,1,0,0,0,0,0.7898105739928556,1.2953740113695025
502,-122.27,37.85,47.0,7.226936018493289,5.730099782973574,6.738152494595957,5.768320995793772,1.3785,142300.0,0,0,0,1,0,0.7928809343697797,1.2528664794769797
4420,-118.26,34.07,46.0,7.758760544157663,6.556778356158042,7.771488760117616,6.47543271670409,2.4038,181700.0,1,0,0,0,0,0.8450806438530041,1.1981841034566056
20582,-122.16,38.9,33.0,7.108244139731541,5.4680601411351315,6.192362489474872,5.298317366548036,3.7574,92700.0,0,1,0,0,0,0.7692560966739171,1.3416040693618754
17366,-120.43,34.95,43.0,7.611347717403621,5.84354441703136,6.541029999189903,5.739792912179234,3.6815,181800.0,1,0,0,0,0,0.7677410931667049,1.3260666079525527
12899,-121.34,38.63,13.0,8.017637159908478,6.293419278846481,7.218176838403408,6.253828811575473,4.0036,161700.0,0,1,0,0,0,0.7849468806491015,1.2820365573595969
20214,-119.25,34.28,36.0,7.333676395657684,5.834810737062605,6.556778356158042,5.762051382780177,3.5819,231900.0,0,0,0,0,1,0.795618789577003,1.2727544251990341
10000,-121.08,39.02,13.0,7.517520850603031,5.62040086571715,6.6240652277998935,5.602118820879701,4.2031,209600.0,0,1,0,0,0,0.7476402097729199,1.341906712614595
87,-122.27,37.81,10.0,6.775366090936392,5.855071922202427,6.304448802421981,5.802118375377063,0.76,162500.0,0,0,0,1,0,0.8641705619471884,1.1677400653681218
7844,-118.18,33.9,31.0,7.838737559599282,6.403574197934815,7.873217054862741,6.3578422665081,3.0909,150900.0,1,0,0,0,0,0.8169139672360924,1.232924195193117
12260,-116.96,33.79,21.0,8.003363058629947,6.539585955617669,7.653969180478774,6.493753839851686,2.0135,83000.0,0,1,0,0,0,0.8171047480553938,1.2324709645619614
1875,-119.98,38.96,25.0,7.8013913202914855,6.09807428216624,6.767343125265392,5.8377304471659395,3.5417,114800.0,0,1,0,0,0,0.7816649661330405,1.3363740225585186
2778,-115.73,33.35,23.0,7.369600720526409,6.1070228877422545,5.82600010738045,5.209486152841421,1.2132,30000.0,0,1,0,0,0,0.8286775796051582,1.4146502177583853
1592,-122.1,37.9,38.0,6.71901315438526,4.976733742420574,5.910796644040527,4.919980925828125,6.5095,294400.0,0,0,0,1,0,0.7406941507730846,1.3656583746316706
12991,-121.25,38.7,16.0,8.09040229659332,6.280395838960195,7.492760300922379,6.298949246855942,4.2464,144400.0,0,1,0,0,0,0.7762773232679324,1.2844050617857516
14953,-116.97,32.76,26.0,7.8083230503910555,5.749392985908253,6.732210706467206,5.703782474656201,5.9878,270700.0,1,0,0,0,0,0.736315973199945,1.3689727974525725
2699,-115.38,32.81,35.0,7.142036574706803,5.572154032177765,6.85751406254539,5.488937726156687,1.8958,67500.0,0,1,0,0,0,0.7801911925110121,1.3011691753529155
17876,-121.99,37.39,25.0,8.159374736775426,6.727431724850855,7.818027938530729,6.682108597449809,4.8145,230700.0,1,0,0,0,0,0.824503340253438,1.2210778405920262
14563,-117.22,32.82,35.0,6.6293632534374485,4.912654885736052,6.049733455231958,4.919980925828125,3.5234,183900.0,0,0,0,0,1,0.741044757682987,1.347436779406132
18970,-122.01,38.27,17.0,9.114930187171524,7.341483852363161,8.46779284112111,7.327123292259293,4.0619,126600.0,0,1,0,0,0,0.8054350062599124,1.2439984730161362
18990,-121.99,38.48,17.0,7.509335266016592,5.855071922202427,6.840546529288687,5.723585101952381,4.6719,250000.0,0,1,0,0,0,0.7797057548754662,1.311998534529533
10670,-117.86,33.62,17.0,7.998335395952982,5.918893854273146,7.129297548929373,5.988961416889864,10.1989,500001.0,1,0,0,0,0,0.7400157109275516,1.3355129277334048
19653,-120.85,37.49,39.0,7.951911381854188,6.598509028614515,7.865955413933502,6.6039438246004725,1.9429,76400.0,0,1,0,0,0,0.8298016302938108,1.2041155396011058
